,coef,lower,upper
created_utc_year_2020,-0.6450142900985505,-0.6688776211726575,-0.6211509590244435
Upper Extremeties,-0.5678448017741982,-0.6580094273957382,-0.4776801761526582
created_utc_year_2019,-0.45000751942614314,-0.4747833823381332,-0.42523165651415307
Lower Extremeties,-0.4452009308731541,-0.514410586794747,-0.3759912749515612
Descriptive Language (Pain),-0.4188545188647894,-0.48539152617264525,-0.3523175115569336
created_utc_month_6,-0.39635421281258465,-0.4285219905378401,-0.3641864350873292
created_utc_month_8,-0.3379831813138815,-0.37081345847078884,-0.30515290415697416
created_utc_month_7,-0.30805825271069953,-0.34023121559073044,-0.2758852898306686
created_utc_month_2,-0.27571154407103027,-0.30913325523171686,-0.24228983291034364
Rheumatology,-0.26381262002274025,-0.3595538895575202,-0.16807135048796032
created_utc_month_4,-0.24050131729479882,-0.2733911673263462,-0.20761146726325141
created_utc_month_9,-0.23370936376847692,-0.2664774298426875,-0.20094129769426636
created_utc_month_3,-0.22745486069793575,-0.26084882536429665,-0.19406089603157484
created_utc_month_5,-0.21798355257954194,-0.25119168858872365,-0.18477541657036023
Muscular Skeletar,-0.19829719094332524,-0.2682963533544388,-0.12829802853221164
Bone Fractures And Sprains (Lower Body),-0.17883578453312793,-0.2783378462053108,-0.07933372286094502
created_utc_month_10,-0.1773425709515397,-0.2103111543169946,-0.14437398758608483
Movement (Arms And Hands),-0.16665422560764095,-0.24563972462993566,-0.08766872658534623
race_all_2,-0.14963787160939573,-0.2097595673945584,-0.08951617582423307
created_utc_year_2018,-0.13929707581659145,-0.1647853883401533,-0.11380876329302961
Hearing,-0.12121634314680596,-0.1976565362179349,-0.044776150075677035
created_utc_month_11,-0.11979450373653748,-0.1522396364928852,-0.08734937098018979
race_all_3,-0.11829888346216061,-0.15870386019510077,-0.07789390672922045
gender_all_0,-0.11103801438802272,-0.13290681929058965,-0.08916920948545579
race_all_4,-0.1092774261614893,-0.2022887614012352,-0.016266090921743415
created_utc_hour_2,-0.08772273756394584,-0.1355092949272963,-0.039936180200595375
created_utc_month_1,-0.08583626541375315,-0.12042596998038269,-0.051246560847123625
race_all_0,-0.07187127476649222,-0.08765645458861797,-0.05608609494436646
Nose Health,-0.06821611774440303,-0.27287102307833755,0.13643878758953149
Headaches And Neurological Distress,-0.06596265686811156,-0.1352284947412365,0.003303181005013353
Headaches,-0.06096249305806673,-0.14218342332501688,0.020258437208883408
race_all_5,-0.056092685405164905,-0.1384731131968558,0.02628774238652598
age_all_3,-0.05169935169392494,-0.08675727971170702,-0.01664142367614286
created_utc_hour_1,-0.04446653343698845,-0.09040789677265024,0.001474829898673341
race_all_6,-0.043482075116149266,-0.20083168393768172,0.11386753370538319
Abnominal Pain,-0.039993199941752745,-0.12888294729747454,0.048896547413969045
created_utc_hour_14,-0.02797363547443715,-0.07027173750982987,0.014324466560955571
Muscular (Hands),-0.026750026986449217,-0.13937411471169509,0.08587406073879664
Lymph Nodes,-0.024928489174851236,-0.10584611094244817,0.05598913259274569
created_utc_hour_15,-0.02378990000613813,-0.06581442304915333,0.018234623036877066
created_utc_hour_3,-0.023388928726627397,-0.07367701322941148,0.026899155776156685
age_all_2,-0.02234482183992471,-0.04453135197198774,-0.0001582917078616873
Respiratory Distress And Cardiology,-0.013531612638756152,-0.10300290932610828,0.07593968404859597
created_utc_hour_18,-0.013399238415677393,-0.05546332448099921,0.028664847649644425
"Allergies, Sinuses, And Colds",-0.008784340384340455,-0.08429415821720741,0.06672547744852651
n_prior_submissions,-0.0013013591777804288,-0.002068470466939458,-0.0005342478886213997
selftext_length,-0.0003653012986556894,-0.00040567369710186354,-0.0003249289002095152
gender_all_1,-0.0001552281308271644,-0.023172381936014976,0.022861925674360645
created_utc_weekday_1,0.0067120626598308215,-0.01670758548598983,0.030131710805651475
created_utc_hour_4,0.009259778372559842,-0.04287229541344088,0.061391852158560564
Dermatology,0.01085965787537395,-0.07986564205505081,0.10158495780579871
title_length,0.015567523551016513,0.014577256488743636,0.01655779061328939
created_utc_hour_17,0.01720313557648005,-0.024802430714550367,0.05920870186751047
created_utc_hour_13,0.01953771759405342,-0.022919785505764755,0.061995220693871596
created_utc_weekday_2,0.020127472727770414,-0.0033056795673712357,0.04356062502291207
is_automod_format_1,0.023299780937795212,0.007402839414631015,0.03919672246095941
created_utc_hour_16,0.025656461887278086,-0.016376701193140133,0.0676896249676963
