,coef,lower,upper
gender_all_0,-0.2500954777489497,-0.2710461640007473,-0.22914479149715206
age_all_3,-0.1877511947264906,-0.2216147489243147,-0.1538876405286665
gender_all_1,-0.17294397768230405,-0.19484876060786638,-0.1510391947567417
age_all_2,-0.1594445699343892,-0.18074191161820732,-0.1381472282505711
race_all_2,-0.11597681324868099,-0.17451766556595125,-0.057435960931410734
age_all_1,-0.11126909087457175,-0.13500594761747292,-0.08753223413167058
race_all_3,-0.040551654510912305,-0.07972749060378156,-0.0013758184180430455
race_all_0,-0.035561947554420235,-0.05037821557714345,-0.020745679531697023
race_all_4,-0.017551871208482783,-0.10806621580646428,0.07296247338949871
race_all_5,-0.0064437227093402626,-0.08678617218942795,0.07389872677074742
race_all_6,0.02826651786054023,-0.12534976298766737,0.18188279870874785
race_all_1,0.08647579073641627,0.038554125717591786,0.13439745575524076
age_all_0,0.09348119776658889,0.0521010606261829,0.13486133490699487
age_all_4,0.13862239692816405,0.09149453831591205,0.18575025554041608
