,coef,lower,upper
Descriptive Language (Pain),-0.9315619326259784,-1.0236496482757935,-0.8394742169761632
Lower Extremeties,-0.8135563570585286,-0.9095231955669705,-0.7175895185500867
Upper Extremeties,-0.7382153465071808,-0.8705512245759497,-0.6058794684384119
Respiratory Distress And Cardiology,-0.657105641189301,-0.7846590786835014,-0.5295522036951007
Rheumatology,-0.49475689540125534,-0.6273992991431379,-0.3621144916593728
created_utc_month_8,-0.47620339963473945,-0.5145153630320959,-0.43789143623738297
Hearing,-0.473177162032161,-0.5750966683774499,-0.37125765568687213
Digestive Distress,-0.4484191336813055,-0.5438216843694564,-0.3530165829931545
Headaches,-0.4318306496920084,-0.5403859040030062,-0.3232753953810105
Bowel Movements,-0.42062673016923885,-0.5636166549074916,-0.2776368054309861
Smell And Odors,-0.3960714347043175,-0.5620950074147587,-0.23004786199387625
Headaches And Neurological Distress,-0.39139210084744847,-0.48078510378144895,-0.301999097913448
Abnominal Pain,-0.38426342962287513,-0.503148016805994,-0.26537884243975635
Gastrointestinal Distress,-0.3504638968389947,-0.4409916184928453,-0.2599361751851441
created_utc_month_6,-0.347504323879454,-0.38429349313072714,-0.3107151546281809
created_utc_month_7,-0.3380823217091807,-0.3746975646508218,-0.30146707876753953
Testicular Health,-0.32039622506999416,-0.4267342956714361,-0.2140581544685522
Gastrointenstinal,-0.31240057407651944,-0.4104334411013582,-0.21436770705168068
Respiratory Distress (Breathing),-0.3090299435484032,-0.3993756539272606,-0.21868423316954577
created_utc_month_4,-0.2971985485958621,-0.3344791865169742,-0.25991791067474995
Lymph Nodes,-0.296653087181982,-0.40161224320777844,-0.1916939311561856
Urology (Urination),-0.2912825519615581,-0.3963391810333036,-0.1862259228898126
created_utc_month_5,-0.29046216390418816,-0.32794764286631406,-0.25297668494206227
created_utc_month_3,-0.28970333182909536,-0.3277098680135342,-0.2516967956446565
Oral Hygiene,-0.2840471798396265,-0.3917544202454299,-0.17633993943382315
"Allergies, Sinuses, And Colds",-0.2814123493548038,-0.3781457460535429,-0.1846789526560647
created_utc_month_2,-0.2598367559913981,-0.297737966024852,-0.22193554595794424
Throat-Related,-0.2532473621646106,-0.34525674211756713,-0.16123798221165403
Muscular Skeletar,-0.2453312345845008,-0.3342175461785357,-0.15644492299046586
Nutrition,-0.20376089425864333,-0.2837193319417518,-0.12380245657553482
Sleep,-0.18204109360883783,-0.28655568416443955,-0.07752650305323612
created_utc_month_9,-0.1784652229220262,-0.21504276860683535,-0.14188767723721707
created_utc_month_1,-0.1385059020151254,-0.17681902714465994,-0.10019277688559083
created_utc_month_10,-0.1364797493428288,-0.17295803726653936,-0.10000146141911825
created_utc_hour_2,-0.0867543194807964,-0.14562741578765892,-0.027881223173933885
gender_all_0,-0.06950036165878992,-0.09438453498794848,-0.044616188329631365
Bone Fractures And Sprains (Lower Body),-0.059117780530764746,-0.18465841739130803,0.06642285632977854
Movement (Arms And Hands),-0.05786666692494924,-0.15632298434001157,0.04058965049011311
created_utc_hour_3,-0.056000770637245054,-0.11737121373901328,0.005369672464523176
age_all_1,-0.05565436085573166,-0.084485642561618,-0.026823079149845316
created_utc_hour_1,-0.05272965097325051,-0.10875934737648163,0.003300045429980608
Urology,-0.04794277668505993,-0.1471672218240041,0.05128166845388425
race_all_4,-0.047278935503102866,-0.15581474570644246,0.06125687470023674
race_all_2,-0.047007358448275686,-0.1187754753441442,0.024760758447592825
Reproductive Health (Male),-0.042001117470957694,-0.15154684821112777,0.06754461326921238
Hemorrhoids And Rectal Bleeding,-0.0418728285975596,-0.14668873344255387,0.06294307624743467
created_utc_month_11,-0.036896275820260914,-0.07234728134878887,-0.0014452702917329488
race_all_0,-0.026349265281300504,-0.04501369213913163,-0.007684838423469377
Bruising And Swelling,-0.02577059656529254,-0.12319214645348467,0.07165095332289959
age_all_2,-0.021876628649500778,-0.047386904842139733,0.003633647543138177
gender_all_1,-0.01319433455402122,-0.03930867237827349,0.012920003270231052
Temperature Regulation,-0.006026575702257688,-0.1539483051110892,0.14189515370657385
selftext_length,-0.000629853150900095,-0.0006837507289006286,-0.0005759555728995615
Reproductive Health (Female),-0.00031179013019091187,-0.08574955420631492,0.0851259739459331
n_prior_submissions,0.0014105109580756533,0.0005515084606237548,0.002269513455527552
title_length,0.004510655763119864,0.0034263373796435126,0.005594974146596215
