,coef,lower,upper
created_utc_month_8,-0.6939793482086678,-0.69646048373685,-0.6914982126804856
created_utc_month_6,-0.6371407983170485,-0.6394790399622177,-0.6348025566718793
created_utc_month_7,-0.5295210393779598,-0.5317905115258551,-0.5272515672300645
created_utc_month_2,-0.4859575442178245,-0.4882650341601263,-0.4836500542755227
created_utc_month_5,-0.470421532297621,-0.4727690637264984,-0.4680740008687436
created_utc_month_4,-0.4496431059582023,-0.45196788586881403,-0.44731832604759053
created_utc_month_3,-0.36372596045467964,-0.36603070548927197,-0.3614212154200873
created_utc_month_9,-0.3441571684514609,-0.34649740479989033,-0.34181693210303143
created_utc_month_1,-0.3420666408285939,-0.34439318234917,-0.3397400993080178
age_all_13_20,-0.28074751431462713,-0.2841688720851994,-0.27732615654405485
age_all_20_35,-0.23208304777498098,-0.2354887407801464,-0.22867735476981557
created_utc_month_10,-0.22976893885938632,-0.23208177542589473,-0.2274561022928779
created_utc_month_11,-0.22750829611417278,-0.22978659604638302,-0.22522999618196254
age_all_35_50,-0.22041402269491595,-0.22452732858293142,-0.21630071680690047
descriptive_language_pain,-0.18181726181718932,-0.18267574226759148,-0.18095878136678717
created_utc_hour_2,-0.15416710425122868,-0.15783773867035286,-0.1504964698321045
lower_extremeties,-0.15218149266815076,-0.15294241364741315,-0.15142057168888837
race_all_indian,-0.12952898199601107,-0.13327642329224237,-0.12578154069977976
selftext_length,-0.11524540324067722,-0.11581228119061385,-0.1146785252907406
created_utc_hour_1,-0.08810193343753668,-0.09160749421755274,-0.08459637265752062
upper_extremeties,-0.08088041249603879,-0.08142186748623197,-0.08033895750584562
created_utc_hour_4,-0.0802787290798295,-0.08430285923522934,-0.07625459892442965
respiratory_distress_and_cardiology,-0.0785331767996744,-0.07894200329426236,-0.07812435030508645
headaches_and_neurological_distress,-0.07710787445563666,-0.07791759743796221,-0.07629815147331111
hearing,-0.07589283969847686,-0.0764945033032936,-0.07529117609366012
digestive_distress,-0.071888516243685,-0.07254697247478595,-0.07123006001258406
muscular_skeletar,-0.06737097654566114,-0.06808894163068253,-0.06665301146063975
gastrointestinal_distress,-0.06455963951192549,-0.06547854733620594,-0.06364073168764504
allergies_sinuses_and_colds,-0.06455482278222399,-0.06531769651281577,-0.06379194905163221
nutrition,-0.06132177175889757,-0.062249868494121445,-0.06039367502367369
oral_hygiene,-0.05989103714826502,-0.060487437122170744,-0.059294637174359295
abnominal_pain,-0.05874949278843633,-0.05946066450978744,-0.05803832106708522
headaches,-0.05775295734881306,-0.0584495046394397,-0.05705641005818642
testicular_health,-0.05159632446320936,-0.052241474180481674,-0.05095117474593704
respiratory_distress_breathing,-0.04793936206988677,-0.04854335107569117,-0.04733537306408237
bowel_movements,-0.045378351387921206,-0.04641786185287269,-0.044338840922969726
throat_related,-0.04344463899380162,-0.04456659679634756,-0.04232268119125568
gastrointenstinal,-0.042701200866244876,-0.043547865118963205,-0.04185453661352655
lymph_nodes,-0.04080564013115751,-0.04137483759599374,-0.04023644266632129
rheumatology,-0.03917833329707375,-0.040017802927339544,-0.03833886366680796
race_all_mixed,-0.03669112378546809,-0.04016500168148005,-0.03321724588945613
urology_urination,-0.03622045161363139,-0.03680211190886694,-0.03563879131839584
smell_and_odors,-0.03547228735874744,-0.03602583896312841,-0.03491873575436647
cognitive_distress,-0.02851050125820584,-0.0291849399961309,-0.02783606252028078
sleep,-0.026390966394552427,-0.026898193114879804,-0.02588373967422505
bruising_and_swelling,-0.02446008636273282,-0.024976044572204543,-0.023944128153261093
urology,-0.022657748289409793,-0.023421626522421624,-0.021893870056397962
age_all_50_100,-0.021500939555321057,-0.026092781488142546,-0.016909097622499567
movement_arms_and_hands,-0.02016258359291791,-0.02080117399742184,-0.019523993188413982
race_all_hispanic,-0.020104258205553956,-0.022805058564226707,-0.017403457846881205
reproductive_health_female,-0.016747266567693854,-0.017478170866526484,-0.016016362268861224
bone_fractures_and_sprains_lower_body,-0.01661135856577,-0.017174275673111243,-0.016048441458428757
hemorrhoids_and_rectal_bleeding,-0.016397470824546692,-0.01706090328207893,-0.015734038367014456
nose_health,-0.013890202551188996,-0.014205281351259426,-0.013575123751118566
temperature_regulation,-0.006906229440726026,-0.007392135660422508,-0.006420323221029544
reproductive_health_male,-0.0048205601508685405,-0.0052525536347621995,-0.004388566666974882
vision,-0.001904169292430779,-0.002586488786127888,-0.00122184979873367
nutrition_weight_loss,0.0027453321951314853,0.0023054719169047244,0.003185192473358246
created_utc_weekday_3,0.002941972324654074,0.0011147873885979816,0.0047691572607101666
respiratory_distress_treatment,0.003507822573373145,0.0028120973914970634,0.004203547755249226
cold_and_flu,0.0036417476213357522,0.003051405276540867,0.004232089966130637
mental_health_adolescent,0.0037704467781698786,0.0032134971251777437,0.004327396431162013
dermatology,0.00421937175827414,0.0036043795730856523,0.004834363943462628
allergies,0.006023995617980721,0.005495633663228269,0.006552357572733173
respiratory_distress_inhaled_substances,0.007684457195587893,0.007299353766880049,0.008069560624295737
respiratory_distress_smoking,0.009686774213682983,0.009347410602033287,0.01002613782533268
is_automod_format_1,0.00994800590233848,0.008483974572386387,0.011412037232290572
breast_health,0.012848355619590456,0.01219825094823546,0.013498460290945452
descriptive_language_personal_history,0.013723912618484308,0.01203647066412339,0.015411354572845226
descriptive_language_generic,0.014214434178172775,0.011275302728411086,0.017153565627934464
diagnostic_testing_results,0.014260181209902236,0.013695437964653837,0.014824924455150636
pediatrics,0.014483341662572043,0.01422902873514977,0.014737654589994315
gynecology,0.015266514706438555,0.01427898601003926,0.01625404340283785
hormones,0.015467968140638014,0.015019364632686903,0.015916571648589124
gastroenterology,0.01722572224041367,0.01655963006917152,0.01789181441165582
bone_fractures_and_sprains,0.01743730636902203,0.017081982154951846,0.017792630583092217
created_utc_hour_3,0.01869358886629774,0.014808022391453526,0.02257915534114195
cardiology,0.018805244040111944,0.018149436115924258,0.01946105196429963
vitamins_and_supplements,0.019269287787530825,0.018919582185127588,0.019618993389934062
diagnostics_neurology,0.020462921264260005,0.019412506634554,0.02151333589396601
chronic_pain_medication_and_side_effects,0.020480096698072693,0.019720157864083567,0.02124003553206182
hygiene,0.02218507048053726,0.021805433302429896,0.022564707658644625
race_all_asian,0.02280736965333934,0.021163313604053074,0.024451425702625602
substance_abuse_alcohol_and_caffeine,0.024075825199222377,0.023574393531201273,0.02457725686724348
puberty,0.025293013760390174,0.02501855744651398,0.02556747007426637
muscular_hands,0.025366541585029746,0.024912006220316595,0.025821076949742897
title_length,0.033634971489378884,0.0331772045930883,0.034092738385669466
dermatology_face,0.034315690159354297,0.03389688466319947,0.03473449565550912
mental_health_psychiatry,0.03621239811697358,0.03553560634728806,0.03688918988665911
medication_antibiotics,0.036549307329664396,0.03597117610415751,0.03712743855517128
sexually_transmitted_diseases_female,0.0366967432599239,0.03637376552911583,0.03701972099073197
n_prior_submissions,0.03984046912940655,0.039133486799288256,0.04054745145952485
created_utc_hour_23,0.04007994621412052,0.036828613725081935,0.0433312787031591
gender_all_female,0.04401226459835509,0.042951509289741875,0.045073019906968305
infection_bites_and_disease_control,0.04413586447707934,0.04374656029260619,0.04452516866155248
surgery,0.05366731929973824,0.05315603184011077,0.054178606759365706
diagnostic_tests,0.05770537537760077,0.056991599719906506,0.05841915103529504
spine_health,0.06193190101083374,0.061344504368152565,0.06251929765351491
diagnostic_radiology,0.0634614043623323,0.06303163111951736,0.06389117760514725
created_utc_hour_5,0.06376654269311502,0.05960831076782749,0.06792477461840256
hair,0.0666007297680648,0.06605419914482744,0.06714726039130217
dermatology_infection,0.06851402516179621,0.0678610956563038,0.06916695466728862
infection_wounds,0.07501501508365649,0.07440191496379435,0.07562811520351863
coronavirus_prevention,0.07862368572001678,0.07829527801711952,0.07895209342291404
created_utc_weekday_2,0.07940282934682065,0.07760752903955538,0.08119812965408592
created_utc_hour_6,0.08016283409106272,0.07608183725420452,0.08424383092792091
created_utc_weekday_1,0.08058828428499655,0.0788018536077916,0.0823747149622015
descriptive_language_support_and_hospitalization,0.0840802853709751,0.08357624877067997,0.08458432197127023
created_utc_hour_14,0.0932995096106651,0.09011382472666059,0.09648519449466962
descriptive_language_information_seeking_and_logistics,0.09483089102992567,0.09431590533464962,0.09534587672520173
sexually_transmitted_diseases,0.0952930711744645,0.09459285152491853,0.09599329082401048
nails_related,0.10112626761038158,0.10039182538940417,0.101860709831359
created_utc_hour_18,0.10928885811475673,0.10611415105159261,0.11246356517792086
dermatology_bites,0.11051705415316583,0.10972344831049467,0.11131065999583699
created_utc_weekday_4,0.1203056089749833,0.11849197226892536,0.12211924568104124
created_utc_hour_11,0.14803004655349908,0.1447513026471189,0.15130879045987924
created_utc_hour_22,0.14824966892504954,0.14506507176162234,0.15143426608847674
race_all_middle_eastern,0.1484524440334589,0.14222773241978315,0.15467715564713463
dermatology_lesions,0.14858624651863134,0.14782402555414753,0.14934846748311514
created_utc_hour_20,0.15118516633396728,0.14800456064884418,0.15436577201909038
created_utc_hour_21,0.15616193008482665,0.1530014490967022,0.1593224110729511
created_utc_hour_17,0.17627994701268537,0.17314769856672005,0.1794121954586507
created_utc_hour_15,0.17859913954372536,0.1754432634605764,0.18175501562687432
created_utc_hour_16,0.1837501077229356,0.18060702916473997,0.18689318628113122
race_all_black,0.1911584553089681,0.18909056913139705,0.19322634148653917
created_utc_weekday_5,0.19320511554274383,0.19138405281327425,0.1950261782722134
created_utc_hour_12,0.19478440844142544,0.19156962549483472,0.19799919138801617
created_utc_hour_7,0.19528161190369484,0.19144561771243948,0.1991176060949502
created_utc_hour_9,0.22185829165673043,0.21836332435930092,0.22535325895415995
created_utc_weekday_6,0.22552559910204473,0.22373862892756735,0.2273125692765221
dermatology_allergies,0.2350117613589938,0.23416982962078164,0.23585369309720594
created_utc_hour_19,0.23788462345988703,0.2347587955018567,0.24101045141791738
created_utc_hour_10,0.2664337530704973,0.26309333165611387,0.2697741744848808
created_utc_hour_13,0.2732438673606447,0.2700617059575815,0.2764260287637079
created_utc_hour_8,0.3699524281050692,0.36638333009357454,0.3735215261165638
created_utc_year_2020,0.6214775928305482,0.6193450525126267,0.6236101331484696
created_utc_year_2019,0.6426864703350741,0.6406203300740504,0.6447526105960978
created_utc_year_2018,0.6559376404327905,0.6537126469942971,0.6581626338712838
