,coef,lower,upper
age_all_1,-0.0502203486733364,-0.07764132967993587,-0.02279936766673693
gender_all_0,-0.045326077794675214,-0.06909777672123973,-0.021554378868110693
race_all_0,-0.03170978743371007,-0.04912770740020885,-0.01429186746721129
race_all_2,-0.0003627840012295175,-0.06963008455678764,0.0689045165543286
age_all_2,0.0038895960301254906,-0.020495515233216847,0.02827470729346783
gender_all_1,0.014242353474471624,-0.010523810469141463,0.03900851741808471
race_all_5,0.03726856411384239,-0.05511268378945281,0.1296498120171376
race_all_4,0.04146217944738315,-0.06345030502233975,0.14637466391710607
race_all_3,0.06816304321243388,0.02299377892263616,0.11333230750223161
age_all_3,0.08853282936042788,0.04960020061019465,0.1274654581106611
race_all_1,0.11784232849090075,0.0644638883280019,0.1712207686537996
race_all_6,0.22975621206964567,0.061432658882400154,0.39807976525689115
age_all_0,0.254033518867857,0.2097062900744703,0.29836074766124376
age_all_4,0.4094256982669753,0.36080531019689177,0.4580460863370588
